reviewText,overall
"Worst experience ever, very disappointed.",1
Highly recommend this to everyone.,1
Very durable and reliable.,1
"Average, I expected more.",3
"Worst experience ever, very disappointed.",5
Highly recommend this to everyone.,3
The packaging was nice.,4
Highly recommend this to everyone.,5
"It was okay, nothing special.",5
"Works fine, as expected.",4
Highly recommend this to everyone.,4
Excellent service and product.,4
Highly recommend this to everyone.,1
"Worst experience ever, very disappointed.",4
Amazing! Totally worth the money.,4
"Not good, stopped working after a week.",4
"Average, I expected more.",1
The packaging was nice.,1
"Great product, really loved it!",4
Late delivery but product is good.,3
Excellent service and product.,1
Highly recommend this to everyone.,2
Highly recommend this to everyone.,5
Satisfied with the purchase.,2
"Not good, stopped working after a week.",2
The quality could be better.,4
Highly recommend this to everyone.,1
Satisfied with the purchase.,5
"Worst experience ever, very disappointed.",1
The packaging was nice.,5
"Average, I expected more.",1
"Worst experience ever, very disappointed.",2
"It was okay, nothing special.",4
Satisfied with the purchase.,4
Highly recommend this to everyone.,4
Very durable and reliable.,1
"It was okay, nothing special.",4
"Great product, really loved it!",4
The quality could be better.,4
The quality could be better.,4
Late delivery but product is good.,5
The packaging was nice.,4
"It was okay, nothing special.",2
The quality could be better.,2
"Great product, really loved it!",5
Late delivery but product is good.,5
"Great product, really loved it!",3
"Great product, really loved it!",1
"Works fine, as expected.",4
"Terrible, do not buy this.",5
"It was okay, nothing special.",1
"Terrible, do not buy this.",1
"Average, I expected more.",2
"Worst experience ever, very disappointed.",5
"Worst experience ever, very disappointed.",2
"Not good, stopped working after a week.",1
Very durable and reliable.,5
Highly recommend this to everyone.,5
"Works fine, as expected.",1
"Works fine, as expected.",1
"Not good, stopped working after a week.",5
"Works fine, as expected.",5
Amazing! Totally worth the money.,3
Highly recommend this to everyone.,3
Highly recommend this to everyone.,3
"Not good, stopped working after a week.",2
The packaging was nice.,3
Satisfied with the purchase.,3
Very durable and reliable.,1
"Great product, really loved it!",4
"Works fine, as expected.",5
"Worst experience ever, very disappointed.",1
"Terrible, do not buy this.",2
"Terrible, do not buy this.",3
"It was okay, nothing special.",3
Very durable and reliable.,1
Very durable and reliable.,2
Amazing! Totally worth the money.,3
"It was okay, nothing special.",4
"Average, I expected more.",5
Late delivery but product is good.,3
"Works fine, as expected.",5
"Great product, really loved it!",5
The quality could be better.,1
Very durable and reliable.,2
The quality could be better.,1
Very durable and reliable.,1
Late delivery but product is good.,5
"It was okay, nothing special.",3
The quality could be better.,5
Highly recommend this to everyone.,3
Highly recommend this to everyone.,3
"Terrible, do not buy this.",4
The quality could be better.,1
"Worst experience ever, very disappointed.",4
"Average, I expected more.",3
"Great product, really loved it!",1
Amazing! Totally worth the money.,2
The packaging was nice.,3
"It was okay, nothing special.",4
"Terrible, do not buy this.",4
"Terrible, do not buy this.",1
"Worst experience ever, very disappointed.",1
Very durable and reliable.,2
"Terrible, do not buy this.",1
"Average, I expected more.",3
"Works fine, as expected.",5
"It was okay, nothing special.",4
"It was okay, nothing special.",1
The quality could be better.,3
Very durable and reliable.,1
Very durable and reliable.,3
Highly recommend this to everyone.,2
The packaging was nice.,1
Amazing! Totally worth the money.,5
Very durable and reliable.,4
"Works fine, as expected.",2
Very durable and reliable.,2
"Average, I expected more.",2
Excellent service and product.,2
Very durable and reliable.,4
"Great product, really loved it!",2
Late delivery but product is good.,3
Excellent service and product.,4
Excellent service and product.,2
The quality could be better.,2
Excellent service and product.,1
"Not good, stopped working after a week.",1
"Average, I expected more.",4
Highly recommend this to everyone.,2
"Average, I expected more.",4
Amazing! Totally worth the money.,3
"Average, I expected more.",2
Highly recommend this to everyone.,1
The packaging was nice.,2
"Not good, stopped working after a week.",3
The quality could be better.,1
Excellent service and product.,3
Amazing! Totally worth the money.,5
"Not good, stopped working after a week.",5
Amazing! Totally worth the money.,1
"Worst experience ever, very disappointed.",3
"It was okay, nothing special.",5
The quality could be better.,1
"Worst experience ever, very disappointed.",5
"Not good, stopped working after a week.",3
Late delivery but product is good.,3
"Not good, stopped working after a week.",5
"Terrible, do not buy this.",1
"Not good, stopped working after a week.",5
Highly recommend this to everyone.,3
"Great product, really loved it!",4
"Great product, really loved it!",5
Very durable and reliable.,5
The packaging was nice.,2
Amazing! Totally worth the money.,4
"Worst experience ever, very disappointed.",3
"Works fine, as expected.",3
The packaging was nice.,1
Late delivery but product is good.,3
"Terrible, do not buy this.",3
The packaging was nice.,4
Amazing! Totally worth the money.,4
Late delivery but product is good.,3
"Terrible, do not buy this.",2
Highly recommend this to everyone.,4
The packaging was nice.,4
The packaging was nice.,2
"Works fine, as expected.",5
The quality could be better.,4
"Terrible, do not buy this.",1
The quality could be better.,3
Highly recommend this to everyone.,4
Excellent service and product.,5
"Works fine, as expected.",3
Satisfied with the purchase.,4
Satisfied with the purchase.,2
"Terrible, do not buy this.",4
Excellent service and product.,2
The packaging was nice.,1
The quality could be better.,5
The packaging was nice.,5
Amazing! Totally worth the money.,1
"Average, I expected more.",2
The packaging was nice.,3
Highly recommend this to everyone.,2
"It was okay, nothing special.",1
"Great product, really loved it!",2
Satisfied with the purchase.,5
"Average, I expected more.",1
Satisfied with the purchase.,4
Very durable and reliable.,5
Highly recommend this to everyone.,4
Satisfied with the purchase.,4
Highly recommend this to everyone.,2
The packaging was nice.,1
Very durable and reliable.,1
Excellent service and product.,4
Highly recommend this to everyone.,2
Excellent service and product.,5
Satisfied with the purchase.,1
"Terrible, do not buy this.",2
Very durable and reliable.,1
Satisfied with the purchase.,2
Excellent service and product.,4
The packaging was nice.,5
"Terrible, do not buy this.",5
Amazing! Totally worth the money.,4
"Works fine, as expected.",5
"Not good, stopped working after a week.",5
Satisfied with the purchase.,2
Late delivery but product is good.,4
Satisfied with the purchase.,3
Excellent service and product.,2
"Average, I expected more.",3
Excellent service and product.,5
Satisfied with the purchase.,2
The quality could be better.,4
"Worst experience ever, very disappointed.",3
Highly recommend this to everyone.,3
Amazing! Totally worth the money.,3
